Info;Testing script B;;;;;;;;
Duration;2;insert ;1;;;;poèet;suma èasov;priemer
Duration;7;insert ;12;;;;;;
Duration;10;remove ;11;;;;;;
Duration;7;remove ;10;;;;;;
Duration;6;insert ;11;;;;;;
Duration;6;insert ;12;;;;;;
Duration;12;remove ;11;;;;;;
Duration;3;tryFind ;11;;;;;;
Duration;4;tryFind ;11;;;;;;
Duration;4;tryFind ;11;;;;;;
Duration;6;insert ;12;;;;;;
Duration;6;tryFind ;12;;;;;;
Duration;6;insert ;13;;;;;;
Duration;3;tryFind ;13;;;;;;
Duration;6;insert ;14;;;;;;
Duration;12;remove ;13;;;;;;
Duration;11;remove ;12;;;;;;
Duration;6;insert ;13;;;;;;
Duration;9;remove ;12;;;;;;
Duration;13;remove ;11;;;;;;
Duration;12;remove ;10;;;;;;
Duration;11;remove ;9;;;;;;
Duration;11;remove ;8;;;;;;
Duration;8;remove ;7;;;;;;
Duration;4;tryFind ;7;;;;;;
Duration;7;remove ;6;;;;;;
Duration;10;remove ;5;;;;;;
Duration;5;tryFind ;5;;;;;;
Duration;5;insert ;6;;;;;;
Duration;4;tryFind ;6;;;;;;
Duration;5;insert ;7;;;;;;
Duration;15;insert ;8;;;;;;
Duration;6;tryFind ;8;;;;;;
Duration;7;insert ;9;;;;;;
Duration;8;remove ;8;;;;;;
Duration;13;tryFind ;8;;;;;;
Duration;20;remove ;7;;;;;;
Duration;4;insert ;8;;;;;;
Duration;4;tryFind ;8;;;;;;
Duration;8;insert ;9;;;;;;
Duration;9;insert ;10;;;;;;
Duration;4;tryFind ;10;;;;;;
Duration;6;insert ;11;;;;;;
Duration;4;tryFind ;11;;;;;;
Duration;6;insert ;12;;;;;;
Duration;5;tryFind ;12;;;;;;
Duration;6;insert ;13;;;;;;
Duration;6;insert ;14;;;;;;
Duration;6;insert ;15;;;;;;
Duration;12;remove ;14;;;;;;
Duration;12;remove ;13;;;;;;
Duration;6;insert ;14;;;;;;
Duration;8;remove ;13;;;;;;
Duration;12;remove ;12;;;;;;
Duration;8;remove ;11;;;;;;
Duration;4;tryFind ;11;;;;;;
Duration;11;remove ;10;;;;;;
Duration;13;remove ;9;;;;;;
Duration;11;remove ;8;;;;;;
Duration;16;remove ;7;;;;;;
Duration;9;remove ;6;;;;;;
Duration;4;tryFind ;6;;;;;;
Duration;4;tryFind ;6;;;;;;
Duration;5;insert ;7;;;;;;
Duration;5;insert ;8;;;;;;
Duration;11;remove ;7;;;;;;
Duration;9;remove ;6;;;;;;
Duration;9;remove ;5;;;;;;
Duration;5;insert ;6;;;;;;
Duration;7;remove ;5;;;;;;
Duration;7;remove ;4;;;;;;
Duration;7;remove ;3;;;;;;
Duration;5;insert ;4;;;;;;
Duration;7;remove ;3;;;;;;
Duration;6;remove ;2;;;;;;
Duration;6;remove ;1;;;;;;
Duration;4;remove ;0;;;;;;
Duration;1;insert ;1;;;;;;
Duration;4;insert ;2;;;;;;
Duration;3;tryFind ;2;;;;;;
Duration;5;insert ;3;;;;;;
Duration;5;insert ;4;;;;;;
Duration;3;tryFind ;4;;;;;;
Duration;7;remove ;3;;;;;;
Duration;5;insert ;4;;;;;;
Duration;4;tryFind ;4;;;;;;
Duration;2;tryFind ;4;;;;;;
Duration;5;insert ;5;;;;;;
Duration;6;insert ;6;;;;;;
Duration;3;insert ;7;;;;;;
Duration;3;insert ;8;;;;;;
Duration;10;remove ;7;;;;;;
Duration;5;insert ;8;;;;;;
Duration;5;insert ;9;;;;;;
Duration;8;remove ;8;;;;;;
Duration;8;remove ;7;;;;;;
Duration;5;insert ;8;;;;;;
